20 118
0 1 41
0 3 41
0 4 43
0 6 28
0 7 33
0 10 22
0 12 18
0 15 41
0 16 13
0 17 36
0 18 25
0 19 10
1 2 38
1 3 42
1 4 28
1 9 44
1 10 34
1 12 46
1 14 36
1 16 15
1 17 44
1 18 19
2 4 22
2 5 38
2 7 35
2 9 48
2 12 25
2 13 29
2 14 17
2 15 46
2 17 41
2 18 48
2 19 41
3 4 10
3 5 34
3 6 39
3 7 24
3 8 41
3 9 36
3 11 30
3 12 38
3 13 40
3 14 49
3 15 39
3 16 23
3 18 33
4 6 44
4 8 50
4 9 14
4 10 48
4 11 40
4 12 30
4 13 24
4 16 46
4 18 49
4 19 34
5 7 34
5 9 12
5 10 10
5 11 46
5 12 11
5 14 27
5 15 40
5 18 47
6 7 46
6 8 19
6 9 47
6 10 31
6 11 39
6 12 21
6 14 27
6 15 16
6 18 12
7 11 19
7 14 26
7 16 22
7 17 22
7 18 24
7 19 27
8 9 46
8 10 14
8 11 50
8 12 19
8 14 42
8 15 40
8 16 26
8 18 50
8 19 25
9 10 45
9 13 43
9 14 20
9 17 36
9 18 35
9 19 38
10 11 24
10 13 46
10 14 48
10 17 38
10 18 48
11 12 10
11 13 48
11 15 12
11 16 35
11 18 50
11 19 47
12 14 50
12 16 37
12 19 30
13 14 41
13 17 29
14 15 13
14 17 28
14 18 32
15 18 18
15 19 39
16 17 10
16 18 19
16 19 16
